stock,market_cap_log,beta_5y_monthly
A,24.27807427,1.24
AAPL,28.96368419,1.109
ABBV,26.68869542,0.525
ABT,26.17189065,0.688
ACGL,24.24721933,0.488
ACN,25.72478863,1.294
ADBE,25.73955763,1.486
ADI,25.52555162,1.085
ADM,24.09455876,0.671
ADP,25.49479583,0.826
ADSK,24.95408342,1.495
AEE,24.0414023,0.481
AEP,24.79002507,0.443
AES,22.96690059,0.907
AIG,24.48913459,0.716
AIZ,23.11019349,0.547
AKAM,23.11243868,0.77
ALB,23.06197704,1.652
ALGN,22.93669782,1.654
ALK,22.49260854,1.451
ALLE,23.43291469,1.077
AMAT,25.81364425,1.762
AMD,26.27923894,1.916
AME,24.48551656,1.1
AMGN,25.71344004,0.477
AMP,24.57487731,1.266
AMT,25.23376452,0.874
AMZN,28.48285198,1.309
ANET,25.91122867,1.496
ANSS,,
AOS,23.04097474,1.25
APD,24.80710305,0.833
APH,25.73179845,1.157
APTV,23.6558054,1.485
ARE,23.3845709,1.311
ATO,24.02059028,0.736
AVB,24.04631268,0.88
AVGO,28.08830208,1.172
AVY,23.25183371,0.908
AWK,24.00431384,0.682
AXON,24.7422956,1.402
AZO,24.97119182,0.408
B,24.79779306,0.428
BA,25.84309894,1.483
BAC,26.6809583,1.345
BBY,23.49580528,1.215
BDX,24.69188525,0.297
BIIB,23.72599585,0.112
BK,25.07024842,1.144
BKNG,25.91516681,1.392
BKR,24.63141363,0.995
BLK,25.91109922,1.463
BMY,25.22088894,0.357
BR,24.04262099,0.973
BRO,24.15507836,0.805
BSX,25.70329336,0.657
BWA,22.97770458,1.071
BXP,23.30563401,1.242
C,25.9723176,1.4
CAG,22.88689369,0.066
CAT,26.10867212,1.409
CB,25.44094634,0.571
CBOE,23.96075881,0.452
CBRE,24.57370244,1.361
CCI,24.44907129,0.941
CCL,24.44937155,2.708
CDNS,25.2813598,1.001
CDW,23.79329139,0.976
CE,22.21966094,1.108
CF,23.42614058,0.935
CFG,23.85986423,1.141
CHRW,23.46832891,0.873
CHTR,24.34343749,1.017
CI,25.0590759,0.488
CL,24.88723427,0.351
CMA,22.91181264,0.987
CMCSA,25.48643747,0.926
CME,25.3021286,0.443
CMG,24.7074732,1.018
CMI,24.77678968,1.011
CMS,23.7915168,0.384
CNC,23.56356554,0.442
CNP,23.95555877,0.564
COO,23.32072289,0.974
COP,25.5354164,0.7
COST,26.72957697,0.954
CPB,22.98081174,0.053
CRL,22.7126812,1.472
CRM,26.168905,1.224
CSCO,26.30576132,0.987
CSX,24.87279368,1.246
CTAS,25.13362015,1.001
CTLT,,
CTRA,23.62389732,0.311
CTSH,24.21103109,0.93
CTVA,24.55710933,0.775
CVS,25.28866649,0.623
CVX,26.49997021,0.874
CZR,22.4503252,2.248
D,24.66460781,0.591
DAL,24.34356263,1.509
DD,24.18580399,1.058
DFS,,
DG,23.83576855,0.292
DGX,23.7741259,0.538
DHI,24.63220914,1.361
DHR,25.60875334,0.78
DIS,26.04144246,1.549
DLTR,23.68798112,0.894
DOV,23.86037687,1.263
DOW,23.51289982,0.834
DPZ,23.41743626,1.101
DTE,24.08776661,0.423
DUK,25.28410118,0.378
DVA,22.95887747,1.125
DVN,23.87946823,1.138
DXCM,23.99335241,1.487
EA,24.60230235,0.753
EBAY,24.45259071,1.311
ECL,25.06528199,1.08
EFX,24.16769501,1.675
EIX,23.77583766,0.81
EL,24.16459848,1.146
